2026-06-08 13:47:47 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 13:57:47 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=tiktok.com
2026-06-08 14:12:47 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-08 14:16:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.168
2026-06-08 14:32:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.168
2026-06-08 14:50:27 | MASUK BLOK SOSMED | MAC=70:15:FB:7D:4C:59 | DST=facebook.com
2026-06-08 14:50:47 | MASUK BLOK SOSMED | MAC=70:15:FB:7D:4C:59 | DST=facebook.com
2026-06-08 15:02:58 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-08 15:03:08 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-08 15:03:28 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.53.15.83
2026-06-08 15:03:58 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-08 15:05:48 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-08 15:06:58 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-08 15:07:48 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-08 15:23:28 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-08 15:28:28 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-08 15:41:58 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 15:42:08 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 15:42:18 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 15:42:28 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 15:42:38 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktokv.com
2026-06-08 15:42:48 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktokv.com
2026-06-08 15:42:58 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktokv.com
2026-06-08 15:43:08 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.53.15.130
2026-06-08 15:43:18 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.53.15.130
2026-06-08 15:43:48 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.53.15.130
2026-06-08 15:43:58 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.53.15.130
2026-06-08 15:44:08 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 15:44:18 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 15:44:28 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=tiktok.com
2026-06-08 15:44:38 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.219.204.174
2026-06-08 15:44:48 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.219.204.174
2026-06-08 15:45:08 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.219.204.174
2026-06-08 15:45:18 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.219.204.174
2026-06-08 15:45:48 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.219.204.174
2026-06-08 15:46:38 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.219.204.174
2026-06-08 15:46:58 | MASUK BLOK SOSMED | MAC=B0:25:AA:14:84:75 | DST=23.219.204.174
2026-06-08 16:18:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=facebook.com
2026-06-08 16:19:17 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=57.144.192.34
2026-06-09 08:51:36 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=instagram.com
2026-06-09 08:51:46 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=157.240.208.174
2026-06-09 08:53:06 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=facebook.com
2026-06-09 08:53:16 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 08:53:26 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 08:53:36 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 08:53:46 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=57.144.100.34
2026-06-09 08:53:56 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=57.144.100.34
2026-06-09 08:56:26 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 08:56:36 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
2026-06-09 08:56:46 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=instagram.com
